file,bench,M,N,K,iters,batch,compute_only,kernel_mean_ms,kernel_p50_ms,kernel_p99_ms,mean_TFLOPs,p50_TFLOPs,p99_TFLOPs,status
2026-01-31_vk_layernorm_tiled_bench_standard.txt,vk_layernorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_layernorm_tiled_bench_verify.txt,vk_layernorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_bench_perf.txt,vk_rmsnorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_bench_smoke.txt,vk_rmsnorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_bench_standard.txt,vk_rmsnorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_bench_verify.txt,vk_rmsnorm_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_tiled_bench_perf.txt,vk_rmsnorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_tiled_bench_smoke.txt,vk_rmsnorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_tiled_bench_standard.txt,vk_rmsnorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_rmsnorm_tiled_bench_verify.txt,vk_rmsnorm_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_bench_perf.txt,vk_softmax_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_bench_smoke.txt,vk_softmax_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_bench_standard.txt,vk_softmax_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_bench_verify.txt,vk_softmax_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_tiled_bench_perf.txt,vk_softmax_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_tiled_bench_smoke.txt,vk_softmax_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_tiled_bench_standard.txt,vk_softmax_tiled_bench,,,,,,,,,,,,,OK
2026-01-31_vk_softmax_tiled_bench_verify.txt,vk_softmax_tiled_bench,,,,,,,,,,,,,OK
